Date,MSFT,SPY,TLT
2012-02-15,25.756785999999998,119.081581,100.426117
2012-02-16,26.819634999999998,120.40016200000001,99.623085
2012-02-17,26.785343,120.71875800000001,99.597435
2012-02-21,26.948196000000003,120.771873,98.495369
2012-02-22,26.802488,120.382507,99.734123
2012-02-23,26.888196999999998,120.913467,99.734123
2012-02-24,26.982478999999998,121.178917,100.383392
2012-02-27,26.871056,121.382492,101.271912
2012-02-28,27.316763,121.736443,100.938751
2012-02-29,27.205339000000002,121.258606,100.32358599999999
2012-03-01,27.676762,121.886948,99.379143
2012-03-02,27.496767,121.51521299999999,100.312485
2012-03-05,27.256762,121.019653,99.51615100000001
2012-03-06,27.051058,119.249702,100.723457
2012-03-07,27.29105,120.081566,100.106987
2012-03-08,27.436764,121.27626799999999,99.10508
2012-03-09,27.419621999999997,121.74530800000001,99.302071
2012-03-12,27.462475,121.754181,99.28495
2012-03-13,28.002470000000002,123.948898,97.538147
2012-03-14,28.088184000000002,123.816177,95.08065
2012-03-15,28.156747999999997,124.532974,95.226212
2012-03-16,27.942469,124.70540600000001,95.414612
2012-03-19,27.599611,125.194298,94.275719
2012-03-20,27.419621999999997,124.829895,94.652512
2012-03-21,27.351049,124.62545800000001,95.72287
2012-03-22,27.42819,123.727676,96.03112
2012-03-23,27.436764,124.127655,96.938766
2012-03-26,27.933901000000002,125.86979699999999,96.442116
2012-03-27,27.873897999999997,125.478706,97.135719
2012-03-28,27.591043,124.85656000000002,96.998688
2012-03-29,27.531044,124.643227,97.726517
2012-03-30,27.651042999999998,125.158745,96.073891
2012-04-02,27.676762,126.074272,96.606216
2012-04-03,27.376762,125.55871599999999,94.932137
2012-04-04,26.751059,124.31429299999999,96.237038
2012-04-05,27.016777,124.252113,96.932404
2012-04-09,26.656776,122.856613,99.19884499999999
2012-04-10,26.116787,120.794472,100.323425
2012-04-11,26.013924,121.77224,99.121567
2012-04-12,26.553921000000003,123.363235,98.70948800000001
2012-04-13,26.408205,121.896675,100.306282
2012-04-16,26.639629,121.816666,100.16037
2012-04-17,26.948196000000003,123.621017,100.100266
2012-04-18,26.691059000000003,123.20328500000001,100.392151
2012-04-19,26.579632,122.412201,100.486565
2012-04-20,27.788183,122.616653,100.50374599999999
2012-04-23,27.531044,121.58558700000002,101.233475
2012-04-24,27.359621,122.04779099999999,100.520935
2012-04-25,27.599611,123.71880300000001,100.005829
2012-04-26,27.522471999999997,124.58101699999999,100.60676600000001
2012-04-27,27.411045,124.785423,100.692596
2012-04-30,27.445339,124.323227,100.718338
2012-05-01,27.436764,125.09650400000001,100.195984
2012-05-02,27.256762,124.72323600000001,100.90168
2012-05-03,27.222478999999996,123.77214099999999,100.87586999999999
2012-05-04,26.553921000000003,121.77224,101.66757199999999
2012-05-07,26.271061,121.861107,101.684814
2012-05-08,26.142495999999998,121.372238,102.226936
2012-05-09,26.365349,120.65230600000001,102.295799
2012-05-10,26.348207000000002,120.901146,101.994598
2012-05-11,26.708202000000004,120.536705,102.837936
2012-05-14,26.296776,119.203461,104.275093
2012-05-15,26.063833,118.519035,104.6968
2012-05-16,25.796383,118.06574199999999,104.99798600000001
2012-05-17,25.641079,116.314697,106.85678899999999
2012-05-18,25.252848,115.319199,106.882622
2012-05-21,25.666965,117.301308,106.65886699999999
2012-05-22,25.675592,117.50576799999999,105.47130600000001
2012-05-23,25.114807,117.56796999999999,106.202789
2012-05-24,25.080296,117.799072,105.798309
2012-05-25,25.071663,117.416901,106.19416000000001
2012-05-29,25.503044,118.83901999999999,105.867157
